Ano;Mês;Data;Distrito;Concelho;Freguesia;Nível de Tensão;Energia Ativa (kWh);CodDistrito;CodDistritoConcelho;CodDistritoConcelhoFreguesia
2024;01;2024-01;VILA REAL;Chaves;ERVEDEDO;Baixa Tensão;82644.419;17;1703;170312
2024;01;2024-01;VILA REAL;Chaves;UF TRAVANCAS E RORIZ;Baixa Tensão;59903.681;17;1703;170360
2024;01;2024-01;VISEU;Nelas;VILAR SECO;Baixa Tensão;134641.179;18;1809;180906
2024;02;2024-02;BRAGA;Guimarães;UF CANDOSO S TIAGO MASCOTELOS;Muito Alta, Alta e Média Tensões;465765.468;03;0308;030881
2024;02;2024-02;LISBOA;Vila Franca de Xira;VIALONGA;Muito Alta, Alta e Média Tensões;550746.308;11;1114;111408
2024;02;2024-02;VISEU;Lamego;VILA NOVA DE SOUTO D EL-REI;Muito Alta, Alta e Média Tensões;25982.451;18;1805;180524
2024;02;2024-02;VISEU;Viseu;POVOLIDE;Muito Alta, Alta e Média Tensões;140681.833;18;1823;182320
2024;01;2024-01;BRAGA;Braga;PALMEIRA;Baixa Tensão;1288083.002;03;0303;030331
2024;01;2024-01;BRAGA;Terras de Bouro;COVIDE;Baixa Tensão;54993.443;03;0310;031008
2024;01;2024-01;BRAGANCA;Bragança;SERAPICOS;Baixa Tensão;37470.189;04;0402;040247
2024;01;2024-01;BRAGANCA;Vila Flor;SAMOES;Baixa Tensão;103022.293;04;0410;041010
2024;01;2024-01;LEIRIA;Alcobaça;MAIORGA;Baixa Tensão;321804.548;10;1001;100109
2024;01;2024-01;PORTALEGRE;Crato;ALDEIA DA MATA;Baixa Tensão;82410.717;12;1206;120601
2024;01;2024-01;PORTO;Matosinhos;UF CUSTOIAS LECA BALIO GUIFOES;Baixa Tensão;8029890.185;13;1308;130811
2024;01;2024-01;VISEU;Lamego;BRITIANDE;Baixa Tensão;213296.888;18;1805;180504
2024;02;2024-02;BEJA;Odemira;SAO LUIS;Baixa Tensão;128452.251;02;0211;021106
2024;02;2024-02;BRAGA;Barcelos;UF CREIXOMIL E MARIZ;Muito Alta, Alta e Média Tensões;18625.935;03;0302;030297
2024;02;2024-02;BRAGANCA;Vinhais;UF NUNES E OUSILHAO;Baixa Tensão;12815.03;04;0412;041238
2024;02;2024-02;CASTELO BRANCO;Vila de Rei;VILA DE REI;Baixa Tensão;177465.764;05;0510;051003
2024;02;2024-02;COIMBRA;Figueira da Foz;QUIAIOS;Baixa Tensão;227687.445;06;0605;060524
2024;02;2024-02;COIMBRA;Soure;ALFARELOS;Baixa Tensão;64755.81;06;0615;061501
