Ano;Mês;data;Distrito;Concelho;Freguesia;Inclui Mobilidade Elétrica;CPEs com DCs Recolhidos (#);CodDistritoConcelhoFreguesia
2024;2;2024-02;Viana do Castelo;Ponte da Barca;Sampriz;Não;242;160619
2024;2;2024-02;Viana do Castelo;Vila Nova de Cerveira;Cornes;Não;115;161003
2024;2;2024-02;Vila Real;Alijó;Pinhão;Não;54;170109
2024;3;2024-03;Aveiro;Oliveira de Azeméis;União das freguesias de Nogueira do Cravo e Pindelo;Não;1974;011320
2024;3;2024-03;Bragança;Mirandela;Aguieiras;Não;136;040703
2024;3;2024-03;Bragança;Mogadouro;Bemposta;Não;433;040802
2024;3;2024-03;Castelo Branco;Fundão;União das freguesias de Vale de Prazeres e Mata da Rainha;Não;1052;050436
2024;3;2024-03;Castelo Branco;Idanha-a-Nova;União das freguesias de Monsanto e Idanha-a-Velha;Não;369;050520
2024;3;2024-03;Castelo Branco;Oleiros;Madeirã;Não;93;050606
2024;3;2024-03;Castelo Branco;Vila Velha de Rodão;Vila Velha de Ródão;Não;1515;051104
2024;3;2024-03;Coimbra;Arganil;União das freguesias de Cerdeira e Moura da Serra;Sim;1;060120
2024;3;2024-03;Coimbra;Cantanhede;Cordinhã;Não;163;060205
2024;3;2024-03;Coimbra;Condeixa-a-Nova;União das freguesias de Condeixa-a-Velha e Condeixa-a-Nova;Não;4275;060411
2024;3;2024-03;Coimbra;Montemor-o-Velho;Seixo de Gatões;Não;208;061010
2024;3;2024-03;Coimbra;Pampilhosa da Serra;Unhais-o-Velho;Não;321;061209
2024;3;2024-03;Faro;Alcoutim;Vaqueiros;Não;163;080205
2024;3;2024-03;Guarda;Guarda;Vila Cortês do Mondego;Não;152;090750
2024;3;2024-03;Leiria;Bombarral;Roliça;Sim;1;100503
2024;3;2024-03;Leiria;Caldas da Rainha;Foz do Arelho;Não;1779;100606
2024;3;2024-03;Leiria;Leiria;Milagres;Não;877;100915
2024;3;2024-03;Lisboa;Amadora;Águas Livres;Não;14558;111513
2024;3;2024-03;Portalegre;Gavião;Margem;Não;546;120905
2024;3;2024-03;Porto;Amarante;Jazente;Não;18;130118
