Ano;Mês;data;Distrito;Concelho;Freguesia;Inclui contador inteligente;Número de CPE's;CodDistrito;CodDistritoConcelho;CodDistritoConcelhoFreguesia;Contrato Ativo
2024;1;2024-01;Aveiro;Albergaria-a-Velha;Ribeira de Fráguas;NÃO;172;01;0102;010206;SIM
2024;1;2024-01;Aveiro;Arouca;Moldes;SIM;302;01;0104;010414;SIM
2024;1;2024-01;Aveiro;Castelo de Paiva;Fornos;SIM;579;01;0106;010602;SIM
2024;1;2024-01;Aveiro;Estarreja;União das freguesias de Canelas e Fermelã;SIM;1353;01;0108;010809;SIM
2024;1;2024-01;Aveiro;Santa Maria da Feira;Argoncilhe;SIM;3481;01;0109;010901;SIM
2024;1;2024-01;Aveiro;Santa Maria da Feira;União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;SIM;10938;01;0109;010935;SIM
2024;1;2024-01;Aveiro;Ovar;Válega;SIM;2887;01;0115;011507;SIM
2024;1;2024-01;Aveiro;Vagos;União das freguesias de Ponte de Vagos e Santa Catarina;NÃO;102;01;0118;011813;SIM
2024;1;2024-01;Aveiro;Vale de Cambra;Macieira de Cambra;SIM;2498;01;0119;011906;SIM
2024;1;2024-01;Beja;Beja;União das freguesias de Beja (Salvador e Santa Maria da Feira);SIM;6022;02;0205;020520;SIM
2024;1;2024-01;Beja;Mértola;União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros;NÃO;178;02;0209;020910;SIM
2024;1;2024-01;Beja;Odemira;Vila Nova de Milfontes;SIM;3393;02;0211;021111;SIM
2024;1;2024-01;Beja;Odemira;Longueira/Almograve;NÃO;622;02;0211;021117;SIM
2024;1;2024-01;Braga;Barcelos;Ucha;SIM;331;03;0302;030282;SIM
2024;1;2024-01;Braga;Barcelos;União das freguesias de Alvito (São Pedro e São Martinho) e Couto;NÃO;273;03;0302;030291;SIM
2024;1;2024-01;Braga;Braga;Figueiredo;NÃO;63;03;0303;030315;SIM
2024;1;2024-01;Braga;Braga;Padim da Graça;SIM;265;03;0303;030330;SIM
2024;1;2024-01;Braga;Cabeceiras de Basto;Basto;SIM;357;03;0304;030404;SIM
