Ano;Mes;data;Distrito;Concelho;Freguesia;Tipo de Serviço;Ordens Serviço Realizadas (#);CodDistritoConcelhoFreguesia
2024;3;2024-03;Coimbra;Montemor-o-Velho;Ereira;Reposição de Potência Contratada;1;061014
2024;3;2024-03;Coimbra;Montemor-o-Velho;Meãs do Campo;Reposição de Potência Contratada;2;061006
2024;3;2024-03;Coimbra;Montemor-o-Velho;Meãs do Campo;Redução de Potência Contratada;2;061006
2024;3;2024-03;Coimbra;Montemor-o-Velho;Pereira;Redução de Potência Contratada;10;061008
2024;3;2024-03;Coimbra;Montemor-o-Velho;Pereira;Servico Alteração Contractual;4;061008
2024;3;2024-03;Coimbra;Montemor-o-Velho;Santo Varão;Reposição de Potência Contratada;6;061009
2024;3;2024-03;Coimbra;Montemor-o-Velho;Santo Varão;Redução de Potência Contratada;7;061009
2024;3;2024-03;Coimbra;Montemor-o-Velho;Santo Varão;Serviço de Corte e Re-Ligação;2;061009
2024;3;2024-03;Coimbra;Montemor-o-Velho;Seixo de Gatões;Reposição de Potência Contratada;1;061010
2024;3;2024-03;Coimbra;Montemor-o-Velho;Tentúgal;Redução de Potência Contratada;2;061011
2024;3;2024-03;Coimbra;Montemor-o-Velho;Tentúgal;Servico Alteração Contractual;2;061011
2024;3;2024-03;Coimbra;Montemor-o-Velho;União das freguesias de Abrunheira, Verride e Vila Nova da Barca;Redução de Potência Contratada;4;061015
2024;3;2024-03;Coimbra;Montemor-o-Velho;União das freguesias de Montemor-o-Velho e Gatões;Reposição de Potência Contratada;11;061016
2024;3;2024-03;Coimbra;Oliveira do Hospital;Aldeia das Dez;Reposição de Potência Contratada;1;061101
2024;3;2024-03;Coimbra;Oliveira do Hospital;Aldeia das Dez;Servico Alteração Contractual;1;061101
2024;3;2024-03;Coimbra;Oliveira do Hospital;Bobadela;Reposição de Potência Contratada;1;061104
2024;3;2024-03;Coimbra;Oliveira do Hospital;Bobadela;Servico Alteração Contractual;2;061104
2024;3;2024-03;Coimbra;Oliveira do Hospital;Lagares;Serviço de Corte e Re-Ligação;2;061106
2024;3;2024-03;Coimbra;Oliveira do Hospital;Lagares;Servico Alteração Contractual;3;061106
2024;3;2024-03;Coimbra;Oliveira do Hospital;Lourosa;Reposição de Potência Contratada;3;061109
2024;3;2024-03;Coimbra;Oliveira do Hospital;Nogueira do Cravo;Serviço de Corte e Re-Ligação;1;061111
2024;3;2024-03;Coimbra;Oliveira do Hospital;Seixo da Beira;Serviço de Corte e Re-Ligação;3;061118
2024;3;2024-03;Coimbra;Oliveira do Hospital;União das freguesias de Ervedal e Vila Franca da Beira;Redução de Potência Contratada;3;061122
2024;3;2024-03;Coimbra;Oliveira do Hospital;União das freguesias de Ervedal e Vila Franca da Beira;Configuração de EMI;1;061122
2024;3;2024-03;Coimbra;Oliveira do Hospital;União das freguesias de Lagos da Beira e Lajeosa;Redução de Potência Contratada;1;061123
2024;3;2024-03;Coimbra;Oliveira do Hospital;União das freguesias de Lagos da Beira e Lajeosa;Reposição de Potência Contratada;1;061123
2024;3;2024-03;Coimbra;Oliveira do Hospital;União das freguesias de Oliveira do Hospital e São Paio de Gramaços;Reposição de Potência Contratada;14;061124
2024;3;2024-03;Coimbra;Oliveira do Hospital;União das freguesias de Oliveira do Hospital e São Paio de Gramaços;Servico Alteração Contractual;20;061124
2024;3;2024-03;Coimbra;Oliveira do Hospital;União das freguesias de Penalva de Alva e São Sebastião da Feira;Servico Alteração Contractual;1;061125
2024;3;2024-03;Coimbra;Oliveira do Hospital;União das freguesias de Santa Ovaia e Vila Pouca da Beira;Redução de Potência Contratada;5;061126
2024;3;2024-03;Coimbra;Pampilhosa da Serra;Cabril;Redução de Potência Contratada;1;061201
2024;3;2024-03;Coimbra;Pampilhosa da Serra;Cabril;Serviço de Corte e Re-Ligação;1;061201
2024;3;2024-03;Coimbra;Pampilhosa da Serra;Dornelas do Zêzere;Redução de Potência Contratada;1;061202
2024;3;2024-03;Coimbra;Pampilhosa da Serra;Dornelas do Zêzere;Reposição de Potência Contratada;1;061202
2024;3;2024-03;Coimbra;Pampilhosa da Serra;Janeiro de Baixo;Servico Alteração Contractual;1;061204
2024;3;2024-03;Coimbra;Pampilhosa da Serra;Janeiro de Baixo;Reposição de Potência Contratada;3;061204
2024;3;2024-03;Coimbra;Pampilhosa da Serra;Janeiro de Baixo;Serviço de Corte e Re-Ligação;2;061204
2024;3;2024-03;Coimbra;Pampilhosa da Serra;Pampilhosa da Serra;Redução de Potência Contratada;3;061206
2024;3;2024-03;Coimbra;Pampilhosa da Serra;Pampilhosa da Serra;Servico Alteração Contractual;6;061206
2024;3;2024-03;Coimbra;Pampilhosa da Serra;Pampilhosa da Serra;Reposição de Potência Contratada;6;061206
2024;3;2024-03;Coimbra;Pampilhosa da Serra;Pessegueiro;Servico Alteração Contractual;1;061207
2024;3;2024-03;Coimbra;Pampilhosa da Serra;Portela do Fojo-Machio;Servico Alteração Contractual;2;061212
2024;3;2024-03;Coimbra;Pampilhosa da Serra;Portela do Fojo-Machio;Redução de Potência Contratada;1;061212
2024;3;2024-03;Coimbra;Penacova;Figueira de Lorvão;REMOTE_ICP_CONFIGURATION;1;061302
2024;3;2024-03;Coimbra;Penacova;Lorvão;Servico Alteração Contractual;3;061304
2024;3;2024-03;Coimbra;Penacova;Lorvão;Reposição de Potência Contratada;4;061304
2024;3;2024-03;Coimbra;Penacova;Lorvão;Configuração de EMI;1;061304
2024;3;2024-03;Coimbra;Penacova;Penacova;Serviço de Corte e Re-Ligação;2;061307
2024;3;2024-03;Coimbra;Penacova;Sazes do Lorvão;Redução de Potência Contratada;3;061310
2024;3;2024-03;Coimbra;Penacova;Sazes do Lorvão;Servico Alteração Contractual;1;061310
2024;3;2024-03;Coimbra;Penacova;União das freguesias de Oliveira do Mondego e Travanca do Mondego;Reposição de Potência Contratada;1;061313
2024;3;2024-03;Coimbra;Penacova;União das freguesias de Oliveira do Mondego e Travanca do Mondego;Redução de Potência Contratada;1;061313
2024;3;2024-03;Coimbra;Penacova;União das freguesias de São Pedro de Alva e São Paio de Mondego;Reposição de Potência Contratada;1;061314
2024;3;2024-03;Coimbra;Penela;Cumeeira;Serviço de Corte e Re-Ligação;1;061401
2024;3;2024-03;Coimbra;Penela;Espinhal;Redução de Potência Contratada;2;061402
2024;3;2024-03;Coimbra;Penela;União das freguesias de São Miguel, Santa Eufémia e Rabaçal;Serviço de Corte e Re-Ligação;3;061407
2024;3;2024-03;Coimbra;Soure;Alfarelos;Reposição de Potência Contratada;1;061501
2024;3;2024-03;Coimbra;Soure;Figueiró do Campo;Reposição de Potência Contratada;2;061504
2024;3;2024-03;Coimbra;Soure;Soure;Servico Alteração Contractual;11;061509
2024;3;2024-03;Coimbra;Soure;Soure;Serviço de Corte e Re-Ligação;1;061509
2024;3;2024-03;Coimbra;Soure;Soure;Redução de Potência Contratada;17;061509
2024;3;2024-03;Coimbra;Soure;União das freguesias de Gesteira e Brunhós;Servico Alteração Contractual;1;061514
2024;3;2024-03;Coimbra;Soure;União das freguesias de Gesteira e Brunhós;Serviço de Corte e Re-Ligação;2;061514
2024;3;2024-03;Coimbra;Soure;Vila Nova de Anços;Servico Alteração Contractual;3;061511
2024;3;2024-03;Coimbra;Soure;Vinha da Rainha;Reposição de Potência Contratada;1;061512
2024;3;2024-03;Coimbra;Soure;Vinha da Rainha;Redução de Potência Contratada;1;061512
2024;3;2024-03;Coimbra;Tábua;Midões;Reposição de Potência Contratada;1;061608
2024;3;2024-03;Coimbra;Tábua;Midões;Configuração de EMI;1;061608
2024;3;2024-03;Coimbra;Tábua;Tábua;Configuração de EMI;2;061614
2024;3;2024-03;Coimbra;Tábua;Tábua;Servico Alteração Contractual;12;061614
2024;3;2024-03;Coimbra;Tábua;União das freguesias de Covas e Vila Nova de Oliveirinha;Redução de Potência Contratada;6;061617
2024;3;2024-03;Coimbra;Tábua;União das freguesias de Espariz e Sinde;Reposição de Potência Contratada;1;061618
2024;3;2024-03;Coimbra;Tábua;União das freguesias de Ázere e Covelo;Redução de Potência Contratada;1;061616
2024;3;2024-03;Coimbra;Tábua;União das freguesias de Ázere e Covelo;Servico Alteração Contractual;2;061616
2024;3;2024-03;Coimbra;Vila Nova de Poiares;Arrifana;Configuração de EMI;3;061701
2024;3;2024-03;Coimbra;Vila Nova de Poiares;Lavegadas;Reposição de Potência Contratada;1;061702
2024;3;2024-03;Coimbra;Vila Nova de Poiares;Poiares (Santo André);Servico Alteração Contractual;12;061703
2024;3;2024-03;Coimbra;Vila Nova de Poiares;São Miguel de Poiares;Configuração de EMI;1;061704
2024;3;2024-03;Coimbra;Vila Nova de Poiares;São Miguel de Poiares;Servico Alteração Contractual;1;061704
2024;3;2024-03;Coimbra;Vila Nova de Poiares;São Miguel de Poiares;Redução de Potência Contratada;4;061704
2024;3;2024-03;Faro;Albufeira;Albufeira e Olhos de Água;Redução de Potência Contratada;187;080106
2024;3;2024-03;Faro;Albufeira;Albufeira e Olhos de Água;REMOTE_ICP_CONFIGURATION;1;080106
2024;3;2024-03;Faro;Albufeira;Albufeira e Olhos de Água;Configuração de EMI;7;080106
2024;3;2024-03;Faro;Albufeira;Guia;Reposição de Potência Contratada;17;080102
2024;3;2024-03;Faro;Albufeira;Paderne;Servico Alteração Contractual;4;080103
2024;3;2024-03;Faro;Albufeira;Paderne;Configuração de EMI;1;080103
2024;3;2024-03;Faro;Alcoutim;Giões;Servico Alteração Contractual;2;080202
2024;3;2024-03;Faro;Alcoutim;Giões;Reposição de Potência Contratada;1;080202
2024;3;2024-03;Faro;Alcoutim;Martim Longo;Reposição de Potência Contratada;2;080203
2024;3;2024-03;Faro;Alcoutim;União das freguesias de Alcoutim e Pereiro;Reposição de Potência Contratada;4;080206
2024;3;2024-03;Faro;Alcoutim;União das freguesias de Alcoutim e Pereiro;Redução de Potência Contratada;6;080206
2024;3;2024-03;Faro;Aljezur;Aljezur;Servico Alteração Contractual;11;080301
2024;3;2024-03;Faro;Aljezur;Aljezur;Reposição de Potência Contratada;12;080301
2024;3;2024-03;Faro;Castro Marim;Azinhal;Reposição de Potência Contratada;2;080401
2024;3;2024-03;Faro;Faro;Montenegro;Serviço de Corte e Re-Ligação;9;080506
2024;3;2024-03;Faro;Faro;Montenegro;Servico Alteração Contractual;19;080506
2024;3;2024-03;Faro;Faro;União das freguesias de Faro (Sé e São Pedro);Serviço de Corte e Re-Ligação;50;080508
2024;3;2024-03;Faro;Faro;União das freguesias de Faro (Sé e São Pedro);Reposição de Potência Contratada;211;080508
2024;3;2024-03;Faro;Lagoa;Ferragudo;Serviço de Corte e Re-Ligação;6;080602
2024;3;2024-03;Faro;Lagoa;Ferragudo;Servico Alteração Contractual;11;080602
2024;3;2024-03;Faro;Lagoa;Porches;Servico Alteração Contractual;8;080604
2024;3;2024-03;Faro;Lagoa;União das freguesias de Estômbar e Parchal;Redução de Potência Contratada;40;080607
2024;3;2024-03;Faro;Lagoa;União das freguesias de Estômbar e Parchal;Reposição de Potência Contratada;32;080607
2024;3;2024-03;Faro;Lagoa;União das freguesias de Estômbar e Parchal;Configuração de EMI;11;080607
2024;3;2024-03;Faro;Lagoa;União das freguesias de Lagoa e Carvoeiro;Redução de Potência Contratada;49;080608
2024;3;2024-03;Faro;Lagoa;União das freguesias de Lagoa e Carvoeiro;REMOTE_ICP_CONFIGURATION;1;080608
2024;3;2024-03;Faro;Lagoa;União das freguesias de Lagoa e Carvoeiro;Configuração de EMI;15;080608
2024;3;2024-03;Faro;Lagoa;União das freguesias de Lagoa e Carvoeiro;Servico Alteração Contractual;33;080608
2024;3;2024-03;Faro;Lagos;Luz;Serviço de Corte e Re-Ligação;7;080703
2024;3;2024-03;Faro;Lagos;Luz;Redução de Potência Contratada;20;080703
2024;3;2024-03;Faro;Lagos;Odiáxere;Redução de Potência Contratada;13;080704
2024;3;2024-03;Faro;Lagos;Odiáxere;Reposição de Potência Contratada;12;080704
2024;3;2024-03;Faro;Lagos;São Gonçalo de Lagos;REMOTE_ICP_CONFIGURATION;3;080708
2024;3;2024-03;Faro;Lagos;São Gonçalo de Lagos;Reposição de Potência Contratada;71;080708
2024;3;2024-03;Faro;Lagos;São Gonçalo de Lagos;Redução de Potência Contratada;92;080708
2024;3;2024-03;Faro;Lagos;São Gonçalo de Lagos;Serviço de Corte e Re-Ligação;27;080708
2024;3;2024-03;Faro;Lagos;São Gonçalo de Lagos;Configuração de EMI;4;080708
2024;3;2024-03;Faro;Lagos;União das freguesias de Bensafrim e Barão de São João;Reposição de Potência Contratada;4;080707
2024;3;2024-03;Faro;Loulé;Almancil;Serviço de Corte e Re-Ligação;13;080801
2024;3;2024-03;Faro;Loulé;Almancil;Configuração de EMI;3;080801
2024;3;2024-03;Faro;Loulé;Alte;Servico Alteração Contractual;3;080802
2024;3;2024-03;Faro;Loulé;Alte;Reposição de Potência Contratada;3;080802
2024;3;2024-03;Faro;Loulé;Alte;Serviço de Corte e Re-Ligação;1;080802
2024;3;2024-03;Faro;Loulé;Alte;Redução de Potência Contratada;2;080802
2024;3;2024-03;Faro;Loulé;Boliqueime;Servico Alteração Contractual;6;080804
2024;3;2024-03;Faro;Loulé;Loulé (São Clemente);Reposição de Potência Contratada;62;080808
2024;3;2024-03;Faro;Loulé;Loulé (São Clemente);Serviço de Corte e Re-Ligação;19;080808
2024;3;2024-03;Faro;Loulé;Loulé (São Sebastião);Reposição de Potência Contratada;26;080809
2024;3;2024-03;Faro;Loulé;Quarteira;REMOTE_ICP_CONFIGURATION;5;080805
2024;3;2024-03;Faro;Loulé;Salir;Redução de Potência Contratada;4;080807
2024;3;2024-03;Faro;Loulé;Salir;Serviço de Corte e Re-Ligação;1;080807
2024;3;2024-03;Faro;Loulé;União de freguesias de Querença, Tôr e Benafim;Configuração de EMI;2;080812
2024;3;2024-03;Faro;Loulé;União de freguesias de Querença, Tôr e Benafim;Servico Alteração Contractual;4;080812
2024;3;2024-03;Faro;Monchique;Marmelete;Redução de Potência Contratada;1;080902
2024;3;2024-03;Faro;Monchique;Marmelete;Configuração de EMI;1;080902
2024;3;2024-03;Faro;Monchique;Marmelete;Reposição de Potência Contratada;1;080902
2024;3;2024-03;Faro;Monchique;Monchique;Configuração de EMI;2;080903
2024;3;2024-03;Faro;Olhão;Olhão;Serviço de Corte e Re-Ligação;25;081003
2024;3;2024-03;Faro;Olhão;Olhão;Redução de Potência Contratada;96;081003
2024;3;2024-03;Faro;Olhão;Pechão;Reposição de Potência Contratada;7;081004
2024;3;2024-03;Faro;Olhão;Quelfes;Reposição de Potência Contratada;79;081005
2024;3;2024-03;Faro;Olhão;União das freguesias de Moncarapacho e Fuseta;Serviço de Corte e Re-Ligação;4;081006
2024;3;2024-03;Faro;Portimão;Alvor;Configuração de EMI;2;081101
2024;3;2024-03;Faro;Portimão;Alvor;Servico Alteração Contractual;31;081101
2024;3;2024-03;Faro;Portimão;Alvor;Redução de Potência Contratada;42;081101
2024;3;2024-03;Faro;Portimão;Mexilhoeira Grande;Redução de Potência Contratada;14;081102
2024;3;2024-03;Faro;Portimão;Mexilhoeira Grande;Serviço de Corte e Re-Ligação;5;081102
2024;3;2024-03;Faro;Portimão;Portimão;Servico Alteração Contractual;187;081103
2024;3;2024-03;Faro;Portimão;Portimão;Configuração de EMI;5;081103
2024;3;2024-03;Faro;Portimão;Portimão;Reposição de Potência Contratada;295;081103
2024;3;2024-03;Faro;Silves;Armação de Pêra;Servico Alteração Contractual;36;081303
2024;3;2024-03;Faro;Silves;Silves;Serviço de Corte e Re-Ligação;11;081307
2024;3;2024-03;Faro;Silves;Silves;Configuração de EMI;4;081307
2024;3;2024-03;Faro;Silves;São Bartolomeu de Messines;Servico Alteração Contractual;7;081305
2024;3;2024-03;Faro;Silves;São Bartolomeu de Messines;Serviço de Corte e Re-Ligação;5;081305
2024;3;2024-03;Faro;Silves;São Marcos da Serra;Redução de Potência Contratada;1;081306
2024;3;2024-03;Faro;Silves;União das freguesias de Alcantarilha e Pêra;REMOTE_ICP_CONFIGURATION;1;081309
