Ano;Semestre;CodConcelho;Concelho;Pedidos de Ligação à Rede Executados (#)
2024;1;1411;Ferreira do Zêzere;1.0
2024;1;1009;Leiria;1.0
2024;1;1510;Seixal;1.0
2024;1;0402;Bragança;1.0
2024;1;1602;Caminha;2.0
2024;1;1105;Cascais;4.0
2024;1;1804;Cinfães;1.0
2024;1;0503;Covilhã;5.0
2024;1;0306;Esposende;4.0
2024;1;0808;Loulé;3.0
2024;1;0706;Montemor-o-Novo;2.0
2024;1;1116;Odivelas;1.0
2024;1;1311;Penafiel;1.0
2024;1;1014;Peniche;2.0
2024;1;1414;Rio Maior;1.0
2024;1;0117;Sever do Vouga;1.0
2024;1;1824;Vouzela;1.0
2024;1;0705;Évora;1.0
2024;1;0401;Alfândega da Fé;1.0
2024;1;1503;Almada;1.0
2024;1;1601;Arcos de Valdevez;1.0
2024;1;1504;Barreiro;2.0
2024;1;1005;Bombarral;1.0
2024;1;0303;Braga;1.0
2024;1;0804;Castro Marim;1.0
2024;1;0704;Estremoz;1.0
2024;1;1303;Felgueiras;1.0
2024;1;0607;Lousã;1.0
2024;1;1306;Maia;2.0
2024;1;0115;Ovar;1.0
2024;1;1310;Paredes;1.0
2024;1;1312;Porto;1.0
2024;1;0109;Santa Maria da Feira;1.0
2024;1;1512;Setúbal;1.0
2024;1;1111;Sintra;3.0
2024;1;0616;Tábua;1.0
2024;1;0312;Vila Nova de Famalicão;1.0
2024;1;1316;Vila do Conde;9.0
2024;1;1001;Alcobaça;1.0
2024;1;1501;Alcácer do Sal;1.0
2024;1;1101;Alenquer;1.0
2024;1;0601;Arganil;1.0
2024;1;1006;Caldas da Rainha;1.0
2024;1;0605;Figueira da Foz;1.0
2024;1;0308;Guimarães;1.0
2024;1;1106;Lisboa;3.0
2024;1;1107;Loures;1.0
2024;1;1108;Lourinhã;1.0
2024;1;1308;Matosinhos;1.0
2024;1;0610;Montemor-o-Velho;1.0
2024;1;1110;Oeiras;1.0
2024;1;0810;Olhão;2.0
2024;1;1214;Portalegre;2.0
2024;1;0508;Proença-a-Nova;2.0
2024;1;1415;Salvaterra de Magos;1.0
2024;1;1418;Tomar;1.0
2024;1;1318;Trofa;1.0
2024;1;1315;Valongo;2.0
2024;1;0713;Viana do Alentejo;4.0
2024;1;1114;Vila Franca de Xira;1.0
2024;1;1317;Vila Nova de Gaia;1.0
2024;1;0510;Vila de Rei;1.0
2024;1;1823;Viseu;1.0
